Wall time,Step,Value
1670288021.0013862,0,0.18765011429786682
1670288553.03474,1,0.3788149356842041
1670289084.596393,2,0.46621575951576233
1670289622.3136392,3,0.536249577999115
1670290160.04207,4,0.5997530817985535
1670290698.4061394,5,0.6571549773216248
1670291234.8987079,6,0.7167526483535767
1670291772.4011116,7,0.7696357369422913
1670292310.1424809,8,0.8146604299545288
1670292847.0224934,9,0.8502780795097351
1670293384.4727159,10,0.8788676857948303
1670293915.4266841,11,0.900787889957428
1670294452.9303772,12,0.9173942804336548
1670294990.2224798,13,0.9280211329460144
1670295527.8881176,14,0.9384846091270447
1670296065.4082398,15,0.9466890096664429
1670296602.848812,16,0.9538052678108215
1670297139.603039,17,0.9561794996261597
1670297676.1275358,18,0.9603458642959595
1670298213.4236906,19,0.9659868478775024
1670298750.6131837,20,0.96783447265625
1670299281.3094866,21,0.969330906867981
1670299818.3153973,22,0.9732301235198975
1670300355.371274,23,0.97404545545578
1670300892.5319107,24,0.9754734039306641
1670301430.1198518,25,0.9772085547447205
1670301967.405994,26,0.9800133109092712
1670302504.9258242,27,0.9810047745704651
1670303041.7486272,28,0.981339693069458
1670303578.9335113,29,0.9828242063522339
1670304116.1234412,30,0.9838865995407104
1670304646.880428,31,0.9826661348342896
1670305183.4991193,32,0.9840331673622131
1670305721.0197518,33,0.9858630895614624
1670306257.9686606,34,0.9862893223762512
1670306795.163279,35,0.986986517906189
1670307332.206072,36,0.9881532788276672
1670307869.100914,37,0.9896383881568909
1670308406.417314,38,0.9890377521514893
1670308943.8518057,39,0.98992520570755
1670309480.6447947,40,0.9898650050163269
1670310011.3484764,41,0.9891964793205261
1670310548.3985236,42,0.9908552765846252
1670311085.4318433,43,0.9913737773895264
1670311622.148141,44,0.9921236038208008
1670312159.3867993,45,0.9923667907714844
1670312696.4592042,46,0.9919269680976868
1670313233.0813026,47,0.9918802976608276
1670313770.2128603,48,0.9927589297294617
1670314307.2339103,49,0.9944379925727844
1670314844.2178037,50,0.9947488903999329
1670315374.2086136,51,0.9945065379142761
1670315911.5102606,52,0.993312656879425
1670316448.2964354,53,0.9942496418952942
1670316985.7409227,54,0.9941237568855286
1670317522.7114878,55,0.9956556558609009
1670318059.999948,56,0.9954572916030884
1670318596.9947531,57,0.9946560263633728
1670319134.2573724,58,0.9961890578269958
1670319671.0101032,59,0.9959213137626648
1670320208.016136,60,0.9965372085571289
1670320737.9607046,61,0.9963750839233398
1670321275.2251413,62,0.9969679117202759
1670321812.0013177,63,0.9975733160972595
1670322348.59355,64,0.9959099292755127
1670322884.9772658,65,0.9966074228286743
1670323421.2587764,66,0.9972006678581238
1670323958.1050162,67,0.9977010488510132
1670324495.1825228,68,0.9974679350852966
1670325032.2316604,69,0.9977709054946899
1670325568.921819,70,0.9975264668464661
1670326099.655666,71,0.9983771443367004
1670326636.6118138,72,0.9986453056335449
1670327173.573195,73,0.9984237551689148
1670327710.4932265,74,0.9979572296142578
1670328247.185801,75,0.9976659417152405
1670328783.863911,76,0.9986103773117065
1670329320.284245,77,0.9988902807235718
1670329857.1825182,78,0.999006986618042
1670330393.7224145,79,0.9988202452659607
1670330930.7291052,80,0.9991821050643921
1670331460.3675442,81,0.9990770816802979
1670331996.909615,82,0.9989836812019348
1670332533.507356,83,0.9989719390869141
1670333070.088844,84,0.999228835105896
1670333606.4340553,85,0.9992989301681519
1670334143.1564229,86,0.999345600605011
1670334679.846951,87,0.9993339776992798
1670335216.657935,88,0.9993923306465149
1670335753.4207087,89,0.9994741082191467
1670336290.6050212,90,0.9994857907295227
1670336820.7601845,91,0.9995442032814026
1670337357.863845,92,0.9994974136352539
1670337895.1266432,93,0.9995325207710266
1670338431.982909,94,0.9995792508125305
1670338969.2499108,95,0.9996493458747864
1670339506.2309859,96,0.9994624257087708
1670340043.1411214,97,0.9996026158332825
1670340579.6688805,98,0.9996376633644104
1670341117.161483,99,0.9996493458747864
