Wall time,Step,Value
1670467329.0364492,0,0.08136945962905884
1670467331.3147128,1,0.10574999451637268
1670467333.6085653,2,0.12353996187448502
1670467335.8967748,3,0.13941681385040283
1670467338.1849604,4,0.15612183511257172
1670467340.4561932,5,0.16851624846458435
1670467342.733592,6,0.1807895004749298
1670467345.0151641,7,0.19380255043506622
1670467347.3111122,8,0.2018119990825653
1670467349.587833,9,0.21256868541240692
1670467351.8583448,10,0.22478322684764862
1670467354.1354127,11,0.23123639822006226
1670467356.423453,12,0.2434200644493103
1670467358.7549012,13,0.2489067018032074
1670467361.0953581,14,0.25747981667518616
1670467363.3866928,15,0.26435598731040955
1670467365.67237,16,0.27249422669410706
1670467367.9599426,17,0.28010743856430054
1670467370.257047,18,0.28757038712501526
1670467372.5446444,19,0.29507553577423096
1670467374.8350484,20,0.3028901219367981
1670467377.1346512,21,0.30947190523147583
1670467379.425164,22,0.31459224224090576
1670467381.7251093,23,0.3235883414745331
1670467384.0250459,24,0.3303656578063965
1670467386.3404634,25,0.3371937870979309
1670467388.6335585,26,0.344076007604599
1670467390.9178493,27,0.35109126567840576
1670467393.2037096,28,0.359283447265625
1670467395.4934344,29,0.36667096614837646
1670467397.7783878,30,0.3754461705684662
1670467400.0683923,31,0.38049620389938354
1670467402.3513725,32,0.3898484706878662
1670467404.6367989,33,0.39601224660873413
1670467406.9286182,34,0.4051327705383301
1670467409.2135153,35,0.4120067358016968
1670467411.4958153,36,0.42025095224380493
1670467413.787072,37,0.428022563457489
1670467416.0892367,38,0.4326108396053314
1670467418.4103792,39,0.4400584101676941
1670467420.750466,40,0.44629213213920593
1670467423.0419226,41,0.4567550718784332
1670467425.3311484,42,0.4638865292072296
1670467427.6134138,43,0.4711261987686157
1670467429.9302201,44,0.4761618673801422
1670467432.221406,45,0.4851285219192505
1670467434.5118167,46,0.49237290024757385
1670467436.8105772,47,0.5005921721458435
1670467439.091036,48,0.5059838891029358
1670467441.3754807,49,0.5119012594223022
1670467443.6809106,50,0.5175023078918457
1670467445.9768772,51,0.5200282335281372
1670467448.2698374,52,0.531276524066925
1670467450.5726192,53,0.534611165523529
1670467452.8433428,54,0.5439286828041077
1670467455.1042325,55,0.5511723756790161
1670467457.3940773,56,0.5557275414466858
1670467459.6811004,57,0.5561273097991943
1670467461.966289,58,0.5650331377983093
1670467464.2568085,59,0.5702153444290161
1670467466.5344768,60,0.5781165957450867
1670467468.8197389,61,0.5820018649101257
1670467471.1038604,62,0.5873276591300964
1670467473.384441,63,0.5969401597976685
1670467475.6878426,64,0.5995933413505554
1670467478.0025845,65,0.606261134147644
1670467480.356594,66,0.6114998459815979
1670467482.6543524,67,0.6139774322509766
1670467484.9379258,68,0.621036171913147
1670467487.2294612,69,0.6270686388015747
1670467489.5235686,70,0.6305745840072632
1670467491.822852,71,0.6385778188705444
1670467494.1210175,72,0.6436595320701599
1670467496.4134934,73,0.648948073387146
1670467498.6962063,74,0.6521158814430237
1670467500.9759233,75,0.6574458479881287
1670467503.2662272,76,0.6630587577819824
1670467505.556247,77,0.6665334701538086
1670467507.8293023,78,0.6727190613746643
1670467510.0973084,79,0.6778789162635803
1670467512.3601189,80,0.6832932829856873
1670467514.6252809,81,0.6858149170875549
1670467516.8855083,82,0.6936654448509216
1670467519.14748,83,0.6986598372459412
1670467521.43022,84,0.7031541466712952
1670467523.7118866,85,0.7098154425621033
1670467526.0009255,86,0.7130988836288452
1670467528.2939303,87,0.7145517468452454
1670467530.5784178,88,0.721979022026062
1670467532.8712692,89,0.727668821811676
1670467535.168332,90,0.7308992743492126
1670467537.451932,91,0.7398452162742615
1670467539.800027,92,0.7407696843147278
1670467542.1032407,93,0.7471368908882141
1670467544.3777332,94,0.7502568960189819
1670467546.654942,95,0.7551469802856445
1670467548.9376655,96,0.761955201625824
1670467551.2216568,97,0.7645639181137085
1670467553.5012777,98,0.768650472164154
1670467555.7905147,99,0.774771511554718
1670467558.0884976,100,0.7786339521408081
1670467560.3746822,101,0.7829688191413879
1670467562.6852236,102,0.7885898947715759
1670467564.9821029,103,0.7904077768325806
1670467567.2818797,104,0.797808825969696
1670467569.5764234,105,0.8015743494033813
1670467571.8691282,106,0.8050923943519592
1670467574.1713657,107,0.8096702694892883
1670467576.4722965,108,0.8118323683738708
1670467578.7592404,109,0.8177728056907654
1670467581.055559,110,0.8209775686264038
1670467583.347064,111,0.8257864713668823
1670467585.6412191,112,0.8302582502365112
1670467587.9419825,113,0.8315945863723755
1670467590.2295651,114,0.8359041810035706
1670467592.515806,115,0.8422520756721497
1670467594.8122542,116,0.8448039293289185
1670467597.120878,117,0.8465586304664612
1670467599.4630635,118,0.8504437208175659
1670467601.7850208,119,0.8537436127662659
