Wall time,Step,Value
1670464480.387115,0,0.04274219274520874
1670464481.5220711,1,0.051443181931972504
1670464482.647119,2,0.06418508291244507
1670464483.745816,3,0.08549025654792786
1670464484.867057,4,0.11728182435035706
1670464485.9743843,5,0.15411052107810974
1670464487.0689628,6,0.19216576218605042
1670464488.159606,7,0.23410238325595856
1670464489.255715,8,0.28179284930229187
1670464490.356706,9,0.3313990831375122
1670464491.4509282,10,0.3800942003726959
1670464492.5548408,11,0.42749902606010437
1670464493.6632953,12,0.47508829832077026
1670464494.769103,13,0.5245181322097778
1670464495.8724902,14,0.5748276710510254
1670464496.979481,15,0.6249558329582214
1670464498.0834143,16,0.6703490018844604
1670464499.1914585,17,0.7143804430961609
1670464500.288061,18,0.7516547441482544
1670464501.401072,19,0.7837738394737244
1670464502.508237,20,0.809626042842865
1670464503.6132705,21,0.8309965133666992
1670464504.7241843,22,0.8463805913925171
1670464505.8222528,23,0.8588429689407349
1670464506.9308908,24,0.8685699105262756
1670464508.0261762,25,0.8773775696754456
1670464509.125647,26,0.8830658793449402
1670464510.2204523,27,0.8886412382125854
1670464511.318137,28,0.8932806253433228
1670464512.4010394,29,0.8970389366149902
1670464513.5052886,30,0.9003052115440369
1670464514.60674,31,0.9038664102554321
1670464515.6981578,32,0.906251847743988
1670464516.7803195,33,0.9082149863243103
1670464517.866016,34,0.9110325574874878
1670464518.948525,35,0.9127846956253052
1670464520.0450125,36,0.9156146049499512
1670464521.150003,37,0.9167750477790833
1670464522.2390788,38,0.9187713265419006
1670464523.3273978,39,0.9210642576217651
1670464524.4213998,40,0.9225788116455078
1670464525.5123496,41,0.9242799282073975
1670464526.6098921,42,0.9259290099143982
1670464527.7019267,43,0.9269615411758423
1670464528.8036625,44,0.9288651943206787
1670464529.9079318,45,0.929206371307373
1670464531.0124018,46,0.9307634830474854
1670464532.115767,47,0.9314258694648743
1670464533.2118032,48,0.9327902793884277
1670464534.310031,49,0.9342823028564453
1670464535.392246,50,0.9350519776344299
1670464536.4905283,51,0.9352459907531738
1670464537.5751321,52,0.9369147419929504
1670464538.7437904,53,0.9373437762260437
1670464539.914441,54,0.9380285143852234
1670464541.0709486,55,0.9388107657432556
1670464542.1819544,56,0.9398948550224304
1670464543.303041,57,0.9407294392585754
1670464544.4260201,58,0.9409704804420471
1670464545.5280454,59,0.9420615434646606
1670464546.6212823,60,0.9417177438735962
1670464547.722805,61,0.9424232244491577
1670464548.8201783,62,0.9429315328598022
1670464549.9189234,63,0.9432516694068909
1670464551.010875,64,0.9444037079811096
1670464552.104218,65,0.9438011050224304
1670464553.1914942,66,0.944284200668335
1670464554.2856803,67,0.9448443055152893
1670464555.380307,68,0.9447045922279358
1670464556.4800167,69,0.9462713599205017
1670464557.5600412,70,0.9462690949440002
1670464558.6488798,71,0.9464941620826721
1670464559.7551017,72,0.9465774893760681
1670464560.8567355,73,0.9469370245933533
1670464561.9847949,74,0.9473311305046082
1670464563.1194685,75,0.9475412368774414
1670464564.247925,76,0.9476666450500488
1670464565.3696847,77,0.948174238204956
1670464566.478594,78,0.9488778710365295
1670464567.5894728,79,0.9484086036682129
1670464568.708964,80,0.9483593702316284
1670464569.830538,81,0.9493094086647034
1670464570.9412374,82,0.9495154619216919
1670464572.0511644,83,0.9492613673210144
1670464573.165534,84,0.949781060218811
1670464574.280762,85,0.9490132331848145
1670464575.392428,86,0.9496982097625732
1670464576.5143964,87,0.9495648741722107
1670464577.635544,88,0.9490817189216614
1670464578.7503772,89,0.9503588080406189
1670464579.8744397,90,0.9501511454582214
1670464580.9821408,91,0.9498193264007568
1670464582.1026332,92,0.9502193927764893
1670464583.2194386,93,0.9502706527709961
1670464584.3205543,94,0.9503646492958069
1670464585.417452,95,0.950585663318634
1670464586.513308,96,0.9498247504234314
1670464587.6086714,97,0.9503033757209778
1670464588.7140336,98,0.9507178664207458
1670464589.809022,99,0.9507980346679688
1670464590.8984468,100,0.9510831236839294
1670464591.996096,101,0.9506223797798157
1670464593.086418,102,0.9505887627601624
1670464594.186267,103,0.950813889503479
1670464595.2719676,104,0.9510433673858643
1670464596.3594272,105,0.9510911703109741
1670464597.4516902,106,0.9514134526252747
1670464598.61112,107,0.9502183198928833
1670464599.7861187,108,0.9514262676239014
1670464600.9375358,109,0.950695812702179
1670464602.052974,110,0.9510468244552612
1670464603.1555645,111,0.9511913061141968
1670464604.2583172,112,0.9510304927825928
1670464605.3718898,113,0.9510753750801086
1670464606.4670458,114,0.9509016871452332
1670464607.586241,115,0.950671911239624
1670464608.681154,116,0.9513388872146606
1670464609.7739582,117,0.9504480957984924
1670464610.8616116,118,0.951326847076416
1670464611.9590547,119,0.9507628083229065
1670464613.047047,120,0.9510123133659363
1670464614.134255,121,0.9514228701591492
1670464615.2296004,122,0.9511027336120605
1670464616.333084,123,0.9515165686607361
1670464617.4339406,124,0.951214611530304
1670464618.533923,125,0.9512986540794373
1670464619.6361659,126,0.9517945647239685
1670464620.7334623,127,0.950721025466919
1670464621.8434112,128,0.9508193135261536
1670464622.9477782,129,0.9510796666145325
1670464624.0642657,130,0.9514249563217163
1670464625.1670556,131,0.9512318968772888
1670464626.2583356,132,0.9517931342124939
1670464627.3629088,133,0.9513970017433167
1670464628.4597082,134,0.9506475925445557
1670464629.5606685,135,0.9514086842536926
1670464630.6614845,136,0.951675295829773
1670464631.760073,137,0.9514169096946716
1670464632.8635247,138,0.9508324265480042
1670464633.9669266,139,0.9512779712677002
1670464635.0566306,140,0.9516022205352783
1670464636.1516385,141,0.9521405100822449
1670464637.249926,142,0.9512473940849304
1670464638.3587773,143,0.9513996839523315
1670464639.4674473,144,0.9512597918510437
1670464640.5681372,145,0.9513550400733948
1670464641.665904,146,0.9512669444084167
1670464642.7725642,147,0.950654149055481
1670464643.8612504,148,0.9508652687072754
1670464644.9462042,149,0.9512929320335388
1670464646.0349302,150,0.9517306685447693
1670464647.1445942,151,0.9510977864265442
1670464648.2461114,152,0.951248288154602
1670464649.349864,153,0.9514347910881042
1670464650.448904,154,0.9513758420944214
1670464651.5399933,155,0.9510966539382935
1670464652.6357384,156,0.9517941474914551
1670464653.72609,157,0.9506955146789551
1670464654.8358738,158,0.9514294862747192
1670464655.9298813,159,0.9516350030899048
1670464657.0277867,160,0.9518764615058899
1670464658.1676075,161,0.9517311453819275
1670464659.3331606,162,0.951220691204071
1670464660.4915237,163,0.9512767791748047
1670464661.613487,164,0.951933741569519
1670464662.7153106,165,0.9523314833641052
1670464663.8076684,166,0.9510786533355713
1670464664.9154603,167,0.9510494470596313
1670464666.017975,168,0.9514123201370239
1670464667.1114082,169,0.9511524438858032
1670464668.2278829,170,0.9513389468193054
1670464669.3350842,171,0.9514372944831848
1670464670.4405751,172,0.9514283537864685
1670464671.5501454,173,0.9514991641044617
1670464672.6661935,174,0.9519484639167786
1670464673.761848,175,0.9520663619041443
1670464674.866081,176,0.9517145156860352
1670464675.970448,177,0.951660692691803
1670464677.0799887,178,0.9512157440185547
1670464678.1819997,179,0.9524068236351013
1670464679.2848835,180,0.9511144757270813
1670464680.4006238,181,0.9511855840682983
1670464681.5084858,182,0.951544463634491
1670464682.6317658,183,0.951197624206543
