Wall time,Step,Value
1670288021.001299,0,0.2659394145011902
1670288553.0346606,1,0.5247511863708496
1670289084.596315,2,0.6399669647216797
1670289622.3135612,3,0.7313225269317627
1670290160.0419812,4,0.8010343909263611
1670290698.4060638,5,0.8565778732299805
1670291234.8986351,6,0.9115563631057739
1670291772.4010212,7,0.9428484439849854
1670292310.1424034,8,0.9680559635162354
1670292847.0224264,9,0.9805728197097778
1670293384.47265,10,0.9881350994110107
1670293915.4266095,11,0.9923942685127258
1670294452.9303017,12,0.9947846531867981
1670294990.2224135,13,0.9965230822563171
1670295527.8880372,14,0.9969577193260193
1670296065.4081562,15,0.9977400302886963
1670296602.848745,16,0.998261570930481
1670297139.602957,17,0.9979573488235474
1670297676.1274621,18,0.9982180595397949
1670298213.423619,19,0.9986961483955383
1670298750.6131034,20,0.9990003705024719
1670299281.30942,21,0.9990873336791992
1670299818.3153129,22,0.9987396001815796
1670300355.3712008,23,0.9989134669303894
1670300892.531845,24,0.9987396001815796
1670301430.1197722,25,0.9988265633583069
1670301967.405901,26,0.9993481040000916
1670302504.9257462,27,0.9992611408233643
1670303041.7485526,28,0.9990873336791992
1670303578.9334435,29,0.9995653629302979
1670304116.123375,30,0.999043881893158
1670304646.8803551,31,0.9988700151443481
1670305183.499016,32,0.9993045926094055
1670305721.019652,33,0.9994784593582153
1670306257.9685764,34,0.9993481040000916
1670306795.1632123,35,0.9994350075721741
1670307332.2059991,36,0.9996088743209839
1670307869.1008477,37,0.9995653629302979
1670308406.4172359,38,0.9994784593582153
1670308943.8517334,39,0.9994784593582153
1670309480.6447277,40,0.9996088743209839
1670310011.3483987,41,0.9995219111442566
1670310548.3984437,42,0.9994784593582153
1670311085.4317596,43,0.999217689037323
1670311622.1480615,44,0.9995653629302979
1670312159.3867266,45,0.9995219111442566
1670312696.4591122,46,0.9996088743209839
1670313233.0812297,47,0.9993915557861328
1670313770.2127893,48,0.9995219111442566
1670314307.2338245,49,0.9996957778930664
1670314844.2176952,50,0.9996523261070251
1670315374.2085474,51,0.9996957778930664
1670315911.5101807,52,0.9997392296791077
1670316448.2963486,53,0.9996088743209839
1670316985.7408183,54,0.9997392296791077
1670317522.7114148,55,0.9996523261070251
1670318059.9998748,56,0.9996088743209839
1670318596.9946802,57,0.9994784593582153
1670319134.2573063,58,0.9996523261070251
1670319671.0100296,59,0.9995653629302979
1670320208.0160627,60,0.9996523261070251
1670320737.9606326,61,0.9995219111442566
1670321275.2250621,62,0.9996523261070251
1670321812.001244,63,0.9997826814651489
1670322348.5934665,64,0.9996957778930664
1670322884.9771812,65,0.9996957778930664
1670323421.2587035,66,0.9996523261070251
1670323958.1049352,67,0.9998261332511902
1670324495.1824493,68,0.9996523261070251
1670325032.2315679,69,0.9996957778930664
1670325568.921752,70,0.9997392296791077
1670326099.6555874,71,0.9998696446418762
1670326636.6117268,72,0.9997826814651489
1670327173.5731168,73,0.9998696446418762
1670327710.4930995,74,0.9997826814651489
1670328247.1857278,75,0.9996523261070251
1670328783.8638217,76,0.9998261332511902
1670329320.284172,77,0.9996957778930664
1670329857.1824455,78,0.9997826814651489
1670330393.7223477,79,0.9997392296791077
1670330930.7290332,80,0.9998261332511902
1670331460.36747,81,0.9997826814651489
1670331996.9095473,82,0.9997826814651489
1670332533.50727,83,0.9998261332511902
1670333070.088771,84,0.9998696446418762
1670333606.4339678,85,0.9998261332511902
1670334143.1563451,86,0.9997826814651489
1670334679.846877,87,0.9996957778930664
1670335216.6578698,88,0.9998261332511902
1670335753.4206364,89,0.9998261332511902
1670336290.6049402,90,0.9998261332511902
1670336820.7601066,91,0.9997826814651489
1670337357.8637679,92,0.9997826814651489
1670337895.126552,93,0.9998696446418762
1670338431.9827695,94,0.9998696446418762
1670338969.2498367,95,0.9999130964279175
1670339506.2308626,96,0.9996957778930664
1670340043.1410427,97,0.9998696446418762
1670340579.668782,98,0.9996957778930664
1670341117.161398,99,0.9997826814651489
